candidate_id,name,genes,metabolite_candidates,mapping_status,review_acute_plasma_direction,review_chronic_plasma_direction,review_species_or_models,review_source_tissues,review_target_tissues,review_action_summary,review_reference_numbers,source_pdf_page,mapping_notes,plasma_features,plasma_test_count,plasma_status,plasma_source_fdr_hits,plasma_screen_bh_hits,plasma_hit_directions,plasma_min_source_fdr,plasma_min_screen_bh,blood|prot-ol,blood|metab,blood|transcript-rna-seq,muscle|transcript-rna-seq,muscle|prot-pr,muscle|prot-ph,muscle|metab,adipose|transcript-rna-seq,adipose|prot-pr,adipose|prot-ph,adipose|metab,review_signaling_modes
T3_11,Follistatin,FST,,gene,up,up,H;A,liver;other,muscle,Muscle growth and metabolic signaling,39;97;98;100;116;189,7,Do not substitute FSTL1 or FSTL3.,1,10,present_no_source_FDR_hit,0,0,,0.220388445312025,0.0540063009763679,tested_NS,absent,absent,tested_NS,absent,absent,absent,tested_NS,tested_NS,absent,absent,E
T3_12,GDF15,GDF15,,gene,up,up,H;A,many,many,Stress-associated metabolic signaling,80;190,7,,1,10,present_no_source_FDR_hit,0,0,,0.157398224733988,0.285020470909221,tested_NS,absent,tested_NS,absent,absent,absent,absent,tested_NS,absent,absent,absent,E
T3_13,HSP72,HSPA1A;HSPA1B,,gene,up,up,H;A,liver;other,many,Cellular stress protection,107;173,7,Inducible HSP70 family mapping; retain paralogs and ambiguous protein groups separately.,1,10,present_no_source_FDR_hit,0,0,,0.551689737566576,0.675574831957718,tested_NS,absent,up,up,tested_NS,down,absent,tested_NS,tested_NS,absent,absent,A;E
T3_14,IL-6,IL6,,gene,up,down,H;A;C,muscle,many,"Metabolic, immune and muscle effects",15;16;30;78;81;119;120;121,7,Keep multiple Olink assay IDs; do not merge protein values or substitute IL6R.,4,40,present_no_source_FDR_hit,0,0,,0.176973435664716,0.151922913526056,tested_NS,absent,absent,absent,absent,absent,absent,tested_NS,absent,absent,absent,A;P;E
T3_15,IL-7,IL7,,gene,up,unchanged,H;A;C,muscle,muscle;bone,Muscle development,102;191,7,,1,10,present_no_source_FDR_hit,0,0,,0.555125905797852,0.773692086697795,tested_NS,absent,tested_NS,absent,absent,absent,absent,tested_NS,absent,absent,absent,A;P
T3_16,IL-8,CXCL8,,gene,up;unchanged,unchanged,H;A;C,muscle,endothelium,Angiogenesis and blood flow,48;50;74,7,IL8 alias maps to CXCL8.,4,40,present_no_source_FDR_hit,0,0,,0.126842938147672,0.208724587582935,tested_NS,absent,up,absent,absent,absent,absent,tested_NS,absent,absent,absent,P
T3_17,IL-15,IL15,,gene,up;unchanged,unchanged,H;A;C,immune cells;other,immune cells;other,"Immune, metabolic and muscle effects",57;99;174,7,Do not substitute IL15RA.,1,10,present_no_source_FDR_hit,0,1,,0.0716577389676468,0.0434687820671356,tested_NS,absent,down,down,absent,absent,absent,tested_NS,absent,absent,absent,A;P;E
T3_18,Irisin,FNDC5,,gene,up,down;unchanged,H;A,muscle,white adipose;bone;beta cells;brain,Metabolic effects primarily demonstrated in animal models,84;117;167,7,FNDC5 is the precursor. Tissue RNA or total FNDC5 protein does not measure circulating irisin.,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,tested_NS,tested_NS,absent,absent,absent,tested_NS,absent,absent,absent,E
T3_19,Lactate,,Lactic acid;Lactate,exact_metabolite,up,unchanged,H,muscle,many;central nervous system,Gluconeogenic substrate and inter-organ signal,41;175,7,Research and clinical assays retained separately.,2,20,response_detected,12,12,up,3.61944628602606e-81,9.24969606428882e-80,absent,up,absent,absent,absent,absent,down,absent,absent,absent,tested_NS,A;E
T3_20,METRNL,METRNL,,gene,up,up,H;A;C,white adipose;muscle;other,immune cells,Energy expenditure and glucose regulation,134;192;193,8,,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,up,up,absent,absent,absent,tested_NS,absent,absent,absent,E
T3_21,Myonectin (CTRP15),ERFE,,gene,up;unchanged,unchanged,H;A,muscle,liver;white adipose;heart,Fatty-acid uptake and possible cardiac effects,27;75;82;194,8,ERFE aliases include FAM132B and C1QTNF15; verified against NCBI Gene 151176.,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,down,up,absent,absent,absent,tested_NS,absent,absent,absent,E
T3_22,Musclin (osteocrin),OSTN,,gene,up,down,H;A;C,muscle;bone;brain,muscle;heart;vasculature;cartilage;brain,Mitochondrial and metabolic regulation,27;43;176;195,8,,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,A;P;E
T3_23,Myostatin (GDF8),MSTN,,gene,up;unchanged,unchanged,H;A;C,muscle;white adipose;other,muscle;bone;other,Restrains muscle growth and glucose uptake,44;73;99;189,8,Precursor/latent/active protein forms are not distinguished.,1,10,present_no_source_FDR_hit,0,0,,0.63179427077177,0.824378736190749,tested_NS,absent,absent,down,absent,absent,absent,tested_NS,absent,absent,absent,A;P;E
T3_24,SPARC,SPARC,,gene,up;unchanged,unchanged,H;A;C,many,many,Cell and matrix remodeling,63;181,8,,1,10,present_no_source_FDR_hit,0,0,,0.183699358016929,0.151922913526056,tested_NS,absent,up,tested_NS,tested_NS,absent,absent,tested_NS,tested_NS,absent,absent,A;P;E
T3_25,SDC4,SDC4,,gene,up,up,H,many,immune system,Cell-matrix interactions and muscle growth,104;185;196;197,8,Tissue abundance is not direct evidence of circulating ectodomain shedding.,1,10,present_no_source_FDR_hit,0,0,,0.588231988425397,0.773692086697795,tested_NS,absent,tested_NS,up,tested_NS,absent,absent,tested_NS,absent,absent,absent,A;P;E
T3_26,TGF-beta1,TGFB1,,gene,up,up,H;A;C,many,immune cells;other,Immune recruitment and muscle regulation,64;65;182;198;199,8,Active and latent forms are not distinguished.,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,up,up,absent,absent,absent,tested_NS,absent,absent,absent,A;P;E
T3_27,TGF-beta2,TGFB2,,gene,up,up,H;A;C,adipose,muscle;immune cells;other,Glucose and lipid metabolism; inflammation,42,8,Active and latent forms are not distinguished.,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,up,absent,absent,absent,tested_NS,absent,absent,absent,P;E
T3_28,VEGF,VEGFA,,gene,up;unchanged,up,H;A;C,muscle;other,vascular endothelium,Angiogenesis and exercise-related neurogenesis,27;45;46,8,Operational mapping to VEGFA; VEGFB/C/D are not counted as equivalent and isoforms are not resolved.,1,10,present_no_source_FDR_hit,0,0,,0.10102240551277,0.1541358085523,tested_NS,absent,up,up,tested_NS,tested_NS,absent,tested_NS,absent,absent,absent,P;E
